"Job","PO","Name","Line","Description","Part Num","Supplier Qty","Promise Date","Due Date","UOM","Supplier UOM","Buyer ID","CommentText"
"",706191,"Weco Manufacturing",3,"LATCH ASSY, RH","TS7005RH",9.00,,4/14/2026 12:00:00 AM,"EA","EA","agarcia",""
"",706191,"Weco Manufacturing",4,"INNER DOOR SCREEN","TS1260-01",3.00,,4/14/2026 12:00:00 AM,"EA","EA","agarcia",""
"",706191,"Weco Manufacturing",5,"ALIGNMENT PIN","TS7003",6.00,,4/14/2026 12:00:00 AM,"EA","EA","agarcia",""
"",706191,"Weco Manufacturing",6,"OUTER DOOR ASSEMBLY","TS1270",3.00,,4/14/2026 12:00:00 AM,"EA","EA","agarcia",""
"",706191,"Weco Manufacturing",7,"LATCH POST ASSY, LH","TS7004LH",9.00,,4/14/2026 12:00:00 AM,"EA","EA","agarcia",""
"",706191,"Weco Manufacturing",8,"LATCH POST ASSY, RH","TS7004RH",9.00,,4/14/2026 12:00:00 AM,"EA","EA","agarcia",""
"",706195,"Weco Manufacturing",1,"CONTAINER BODY","TS1540",10.00,,10/14/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706195,"Weco Manufacturing",2,"LATCH ASSY, LH","TS7005LH",30.00,,10/14/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706195,"Weco Manufacturing",3,"LATCH ASSY, RH","TS7005RH",30.00,,10/14/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706195,"Weco Manufacturing",4,"INNER DOOR SCREEN","TS1565-01",10.00,,10/14/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706195,"Weco Manufacturing",5,"ALIGNMENT PIN","TS7003",20.00,,10/14/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706195,"Weco Manufacturing",6,"OUTER DOOR ASSEMBLY","TS1570",10.00,,10/14/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706195,"Weco Manufacturing",7,"LATCH POST ASSY, LH","TS7004LH",30.00,,10/14/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706195,"Weco Manufacturing",8,"LATCH POST ASSY, RH","TS7004RH",30.00,,10/14/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706196,"Weco Manufacturing",1,"CONTAINER BODY","TS1540",10.00,,11/18/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706196,"Weco Manufacturing",2,"LATCH ASSY, LH","TS7005LH",30.00,,11/18/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706196,"Weco Manufacturing",3,"LATCH ASSY, RH","TS7005RH",30.00,,11/18/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706196,"Weco Manufacturing",4,"INNER DOOR SCREEN","TS1565-01",10.00,,11/18/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706196,"Weco Manufacturing",5,"ALIGNMENT PIN","TS7003",20.00,,11/18/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706196,"Weco Manufacturing",6,"OUTER DOOR ASSEMBLY","TS1570",10.00,,11/18/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706196,"Weco Manufacturing",7,"LATCH POST ASSY, LH","TS7004LH",30.00,,11/18/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706196,"Weco Manufacturing",8,"LATCH POST ASSY, RH","TS7004RH",30.00,,11/18/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706197,"Weco Manufacturing",1,"CONTAINER BODY","TS1540",10.00,,12/16/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706197,"Weco Manufacturing",2,"LATCH ASSY, LH","TS7005LH",30.00,,12/16/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706197,"Weco Manufacturing",3,"LATCH ASSY, RH","TS7005RH",30.00,,12/16/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706197,"Weco Manufacturing",4,"INNER DOOR SCREEN","TS1565-01",10.00,,12/16/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706197,"Weco Manufacturing",5,"ALIGNMENT PIN","TS7003",20.00,,12/16/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706197,"Weco Manufacturing",6,"OUTER DOOR ASSEMBLY","TS1570",10.00,,12/16/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706197,"Weco Manufacturing",7,"LATCH POST ASSY, LH","TS7004LH",30.00,,12/16/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706197,"Weco Manufacturing",8,"LATCH POST ASSY, RH","TS7004RH",30.00,,12/16/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706198,"Weco Manufacturing",1,"CONTAINER BODY","TS1540",5.00,,1/13/2026 12:00:00 AM,"EA","EA","agarcia",""
"",706198,"Weco Manufacturing",2,"LATCH ASSY, LH","TS7005LH",15.00,,1/13/2026 12:00:00 AM,"EA","EA","agarcia",""
"",706198,"Weco Manufacturing",3,"LATCH ASSY, RH","TS7005RH",15.00,,1/13/2026 12:00:00 AM,"EA","EA","agarcia",""
"",706198,"Weco Manufacturing",4,"INNER DOOR SCREEN","TS1565-01",5.00,,1/13/2026 12:00:00 AM,"EA","EA","agarcia",""
"",706198,"Weco Manufacturing",5,"ALIGNMENT PIN","TS7003",10.00,,1/13/2026 12:00:00 AM,"EA","EA","agarcia",""
"",706198,"Weco Manufacturing",6,"OUTER DOOR ASSEMBLY","TS1570",5.00,,1/13/2026 12:00:00 AM,"EA","EA","agarcia",""
"",706198,"Weco Manufacturing",7,"LATCH POST ASSY, LH","TS7004LH",15.00,,1/13/2026 12:00:00 AM,"EA","EA","agarcia",""
"",706198,"Weco Manufacturing",8,"LATCH POST ASSY, RH","TS7004RH",15.00,,1/13/2026 12:00:00 AM,"EA","EA","agarcia",""
"",706281,"Uline",1,"FREE Salt and Pepper Grinders","S-22131",1.00,,7/7/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706281,"Uline",2,"2 x 8"" 2 Mil Minigrip® Reclosable Bags 1,000/carton","S-2042",2.00,,7/7/2025 12:00:00 AM,"EA","EA","agarcia",""
